entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_2,entani論文のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_Ŵ,Trial,解の非唯一性考慮のPartialIncorporation_wᴸ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_2,解の非唯一性考慮のPartialIncorporation_wᵁ_1,entani論文のPartialIncorporation_wᵁ_1,解の非唯一性考慮のPartialIncorporation_wᵁ,entani論文のPartialIncorporation_wᴸ_1,解の非唯一性考慮のPartialIncorporation_wᴸ_1,entani論文のPartialIncorporation_Ŵ
"[0.24137929634482597, 0.24137935434483276, 0.16748767930049144, 0.10837437366502375, 0.24137929634482597]","[0.24137929634482597, 0.24137935434483276, 0.16748767930049144, 0.10837437366502375, 0.24137929634482597]","[0.24137929634482597, 0.24137929634482597, 0.12068967717241638, 0.03448275662068943, 0.1551723757930988]","[0.24137929634482597, 0.24137935434483276, 0.24137929634482597, 0.1551723757930988, 0.24137929634482597]","[0.24137931758620673, 0.2413792875862074, 0.16748768975369444, 0.10837438748768466, 0.24137931758620673]","[[0.24137931758620673, 0.2413792875862074, 0.16748768975369444, 0.10837438748768466, 0.24137931758620673], [0.24137931758620673, 0.2413792875862074, 0.16748768975369455, 0.10837438748768466, 0.24137931758620673]]",808,"[0.24137931758620673, 0.2413792875862074, 0.1206896437931037, 0.03448275965517239, 0.1982758142014543]","[0.24137931758620673, 0.2413792875862074, 0.24137931758620673, 0.1982758142014543, 0.24137931758620673]","[0.24137931758620673, 0.25041051654351393, 0.21674877497536932, 0.21674877497536932, 0.2413792875862074]","[0.24137935434483276, 0.2504104533169057, 0.2167487473300475, 0.2167487473300475, 0.24137935434483276]","[0.24137931758620673, 0.2413792875862074, 0.16748768975369444, 0.10837438748768466, 0.24137931758620673]","[0.2167487473300475, 0.24137935434483276, 0.050082090663381144, 0.10837437366502375, 0.2167487473300475]","[0.21674877497536932, 0.2413792875862074, 0.05008210330870279, 0.10837438748768466, 0.21674877497536932]","[[0.24137929634482597, 0.24137935434483276, 0.16748767930049144, 0.10837437366502375, 0.24137929634482597], [0.24137929634482597, 0.24137935434483276, 0.16748767930049144, 0.10837437366502375, 0.24137929634482597]]"
"[0.22222223222221987, 0.22222221936508, 0.22222221307936563, 0.11111111596825446, 0.22222221936508]","[0.22222223222221987, 0.22222221936508, 0.22222221307936563, 0.11111111596825446, 0.22222221936508]","[0.22222221307936563, 0.11111111961111039, 0.11111111089682535, 0.11111110653968281, 0.2222222087222232]","[0.22222223922222079, 0.2222222217936507, 0.22222221307936563, 0.2222222087222232, 0.22222221936508]","[0.22222223097222218, 0.2222222197222222, 0.22222221622448995, 0.11111111335884336, 0.2222222197222222]","[[0.22222223097222218, 0.2222222197222222, 0.22222221622448995, 0.11111111335884336, 0.2222222197222222], [0.22222223097222218, 0.2222222197222222, 0.22222221622448995, 0.11111111335884336, 0.2222222197222222]]",809,"[0.22222221622448995, 0.11111111692176866, 0.11111111104875285, 0.11111110811224498, 0.22222221328798197]","[0.22222223384353731, 0.2222222220975057, 0.22222221622448995, 0.22222221328798197, 0.2222222197222222]","[0.22222223097222218, 0.2222222197222222, 0.2222222197222222, 0.2222222197222222, 0.2222222197222222]","[0.22222223222221987, 0.22222221936508005, 0.22222221936508005, 0.22222221936508, 0.22222221936508]","[0.22222223097222218, 0.2222222197222222, 0.22222221622448995, 0.11111111335884336, 0.2222222197222222]","[0.22222221936508, 0.22222221936508, 0.11111110968254002, 0.11111110968254002, 0.22222221936508]","[0.2222222197222222, 0.2222222197222222, 0.1111111098611111, 0.1111111098611111, 0.2222222197222222]","[[0.22222223222221987, 0.22222221936508, 0.22222221307936563, 0.11111111596825446, 0.22222221936508], [0.22222223222221987, 0.22222221936508, 0.22222221307936563, 0.11111111596825446, 0.22222221936508]]"
"[0.22222221422222127, 0.20000006000000484, 0.2000000600000048, 0.13333331533333348, 0.2000000600000048]","[0.2666665046666521, 0.22222221422222127, 0.2000000600000048, 0.13333331533333348, 0.22222219622221911]","[0.22222221422222127, 0.22222221422222127, 0.11111112511111282, 0.11111110711111064, 0.22222219622221911]","[0.22222221422222127, 0.22222225022222564, 0.22222221422222127, 0.22222219622221911, 0.22222221422222127]","[0.22222223222222226, 0.20000006000000542, 0.20000006000000542, 0.13333328833332803, 0.20000006000000542]","[[0.26666653166665566, 0.20000006000000542, 0.20000006000000542, 0.13333328833332803, 0.20000006000000542], [0.22222223222222226, 0.22222223222222226, 0.20000006000000542, 0.13333328833332803, 0.2222221872222221]]",810,"[0.22222223222222226, 0.22222223222222226, 0.11111111611111113, 0.11111111611111113, 0.2222221872222221]","[0.22222223222222226, 0.22222223222222226, 0.22222223222222226, 0.2222221872222221, 0.22222223222222226]","[0.29999986499998793, 0.20000006000000542, 0.20000006000000542, 0.19999995999999642, 0.20000006000000542]","[0.2999998649999892, 0.20000006000000484, 0.2000000600000048, 0.19999995999999678, 0.2000000600000048]","[0.26666653166665566, 0.22222223222222226, 0.20000006000000542, 0.13333328833332803, 0.2222221872222221]","[0.2000000600000048, 0.2000000600000048, 0.19999995999999678, 0.09999995499999641, 0.19999995999999678]","[0.20000006000000542, 0.20000006000000542, 0.19999995999999642, 0.09999995499999598, 0.19999995999999642]","[[0.2666665046666521, 0.20000006000000484, 0.2000000600000048, 0.13333331533333348, 0.2000000600000048], [0.22222221422222127, 0.22222221422222127, 0.2000000600000048, 0.13333331533333348, 0.22222219622221911]]"
"[0.20000001500000048, 0.1999999849999995, 0.2, 0.16923080423076847, 0.2]","[0.2307692107692321, 0.1999999849999995, 0.2, 0.2, 0.2]","[0.2307692107692321, 0.11538463788461387, 0.11538461621794865, 0.0769230702564107, 0.1923076648076942]","[0.23076927576922773, 0.2307692324358973, 0.2307692107692321, 0.1923076648076942, 0.2307692107692321]","[0.20000001499999967, 0.23076923076923078, 0.2, 0.1076923317307692, 0.2]","[[0.20000001499999967, 0.23076923076923078, 0.2, 0.16923075423076947, 0.2], [0.23076923076923078, 0.23076923076923078, 0.2, 0.1076923317307692, 0.23076920673076912]]",811,"[0.23076923076923078, 0.11538461538461539, 0.11538461538461539, 0.07692307692307693, 0.23076920673076912]","[0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.23076920673076912, 0.23076923076923078]","[0.20000001499999967, 0.2666666566666669, 0.2, 0.2, 0.2]","[0.20000001500000048, 0.26666665666666634, 0.2, 0.2, 0.2]","[0.23076923076923078, 0.23076923076923078, 0.2, 0.16923075423076947, 0.23076920673076912]","[0.2, 0.2, 0.2, 0.13333332833333317, 0.2]","[0.2, 0.2, 0.2, 0.13333332833333345, 0.2]","[[0.20000001500000048, 0.1999999849999995, 0.2, 0.2, 0.2], [0.2307692107692321, 0.1999999849999995, 0.2, 0.16923080423076847, 0.2]]"
"[0.22222226888888802, 0.22222220888888913, 0.11538461038461566, 0.2051282451282036, 0.21794870294871804]","[0.23076922076923131, 0.23076922076923131, 0.11538461038461566, 0.22222220888888913, 0.21794870294871804]","[0.23076922076923131, 0.23076922076923131, 0.11538461038461566, 0.07692308442307653, 0.2051282451282036]","[0.2307692532692296, 0.23076922076923131, 0.23076922076923131, 0.2051282451282036, 0.23076922076923131]","[0.22435899887553237, 0.22435895835069544, 0.11538461038461549, 0.2115384740384611, 0.21153847403846138]","[[0.22435899887553237, 0.22435895835069544, 0.11538461038461549, 0.22435895835069544, 0.21153847403846138], [0.23076922076923098, 0.23076922076923098, 0.11538461038461549, 0.2115384740384611, 0.21153847403846138]]",812,"[0.23076922076923098, 0.23076922076923098, 0.11538461038461549, 0.07692308442307677, 0.2115384740384611]","[0.2307692532692303, 0.23076922076923098, 0.23076922076923098, 0.2115384740384611, 0.23076922076923098]","[0.22435899887553237, 0.22435895835069544, 0.22435895835069544, 0.22435895835069544, 0.22435895835069544]","[0.22222226888888802, 0.22222220888888913, 0.22222220888888913, 0.22222220888888913, 0.22222220888888913]","[0.23076922076923098, 0.23076922076923098, 0.11538461038461549, 0.22435895835069544, 0.21153847403846138]","[0.22222220888888913, 0.11111113444444401, 0.11111110444444457, 0.22222220888888913, 0.11111110444444457]","[0.22435895835069544, 0.11217949943776619, 0.11217947917534772, 0.22435895835069544, 0.11217947917534772]","[[0.22222226888888802, 0.22222220888888913, 0.11538461038461566, 0.22222220888888913, 0.21794870294871804], [0.23076922076923131, 0.23076922076923131, 0.11538461038461566, 0.2051282451282036, 0.21794870294871804]]"
"[0.22222223222222232, 0.22222221936507933, 0.1111111096825397, 0.22222221936507938, 0.22222221936507933]","[0.22222223222222232, 0.22222221936507933, 0.1111111096825397, 0.22222221936507938, 0.22222221936507933]","[0.22222221936507933, 0.22222221936507933, 0.11111110968253968, 0.11111110968253966, 0.22222221936507933]","[0.22222223222222232, 0.22222221936507935, 0.22222221936507933, 0.22222221936507933, 0.22222221936507933]","[0.22222224245478017, 0.2222222089664085, 0.22222220791989666, 0.11111112122739009, 0.22222221943152456]","[[0.22222224245478017, 0.2222222089664085, 0.22222220791989666, 0.11111112122739009, 0.22222221943152456], [0.2222222424547801, 0.2222222089664085, 0.22222220791989666, 0.11111112122739009, 0.22222221943152456]]",813,"[0.22222221943152456, 0.2222222089664085, 0.11111110448320426, 0.11111110971576228, 0.22222221943152456]","[0.2222222424547801, 0.2222222089664085, 0.22222221943152456, 0.22222222466408256, 0.22222221943152456]","[0.22222224245478017, 0.2222222194315245, 0.22222221943152456, 0.2222222089664085, 0.22222221943152456]","[0.22222223222222232, 0.2222222193650794, 0.22222221293650787, 0.22222221936507933, 0.22222221936507933]","[0.22222224245478017, 0.2222222089664085, 0.22222220791989666, 0.11111112122739009, 0.22222221943152456]","[0.22222221293650787, 0.22222221936507933, 0.1111111096825397, 0.11111111611111116, 0.22222221293650787]","[0.22222221943152456, 0.2222222089664085, 0.11111110971576225, 0.11111112122739009, 0.22222221943152456]","[[0.22222223222222232, 0.22222221936507933, 0.1111111096825397, 0.22222221936507938, 0.22222221936507933], [0.22222223222222232, 0.22222221936507933, 0.1111111096825397, 0.22222221936507933, 0.22222221936507933]]"
"[0.2222222502222225, 0.20000002499999786, 0.20000002499999786, 0.13333329633333543, 0.20000002499999786]","[0.26666662866667107, 0.20000002499999786, 0.22222221422222213, 0.13333329633333543, 0.22222221422222213]","[0.20000002499999786, 0.20000002499999786, 0.15999997000000254, 0.07999998500000127, 0.19999990000000867]","[0.3199999400000051, 0.20000002499999786, 0.20000002499999786, 0.19999990000000867, 0.20000002499999786]","[0.22222224555555548, 0.21428573928571795, 0.21428573928571795, 0.1190475840476154, 0.21428573928571795]","[[0.22222224555555548, 0.21428573928571795, 0.22222221555555557, 0.1190475840476154, 0.22222221555555557], [0.23809519809523072, 0.21428573928571795, 0.21428573928571795, 0.1190475840476154, 0.21428573928571795]]",814,"[0.21428573928571795, 0.21428573928571795, 0.14285711285713848, 0.07142855642856924, 0.2142857042857128]","[0.28571422571427696, 0.21428573928571795, 0.21428573928571795, 0.2142857042857128, 0.21428573928571795]","[0.22222224555555548, 0.22222221555555557, 0.22222221555555557, 0.22222221555555557, 0.22222221555555557]","[0.2222222502222225, 0.22222221422222213, 0.22222221422222213, 0.22222221422222213, 0.22222221422222213]","[0.23809519809523072, 0.21428573928571795, 0.22222221555555557, 0.1190475840476154, 0.22222221555555557]","[0.22222221422222213, 0.11111112511111125, 0.22222221422222213, 0.11111110711111107, 0.22222221422222213]","[0.22222221555555557, 0.11111112277777774, 0.22222221555555557, 0.11111110777777779, 0.22222221555555557]","[[0.2222222502222225, 0.20000002499999786, 0.22222221422222213, 0.13333329633333543, 0.22222221422222213], [0.26666662866667107, 0.20000002499999786, 0.20000002499999786, 0.13333329633333543, 0.20000002499999786]]"
"[0.22222222222222224, 0.25000001499999996, 0.1333333213333335, 0.11111117111111027, 0.22222222222222224]","[0.266666642666667, 0.266666642666667, 0.1333333213333335, 0.17222221922222206, 0.22222222222222224]","[0.266666642666667, 0.266666642666667, 0.1333333213333335, 0.06666666066666675, 0.1555555715555553]","[0.266666642666667, 0.266666642666667, 0.1555555715555553, 0.1555555715555553, 0.266666642666667]","[0.2222222222222222, 0.25000002076923167, 0.15555556355555542, 0.08888890488888865, 0.2222222222222222]","[[0.2222222222222222, 0.25000002076923167, 0.15555556355555542, 0.14999997123076825, 0.2222222222222222], [0.2666666546666669, 0.2666666546666669, 0.15555556355555542, 0.08888890488888865, 0.2222222222222222]]",815,"[0.2666666546666669, 0.2666666546666669, 0.13333332733333345, 0.06666666366666672, 0.15555556355555542]","[0.2666666546666669, 0.2666666546666669, 0.15555556355555542, 0.15555556355555542, 0.2666666546666669]","[0.2222222222222222, 0.25000002076923167, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]","[0.22222222222222224, 0.25000001499999996, 0.22222222222222224, 0.22222222222222224, 0.22222222222222224]","[0.2666666546666669, 0.2666666546666669, 0.15555556355555542, 0.14999997123076825, 0.2222222222222222]","[0.22222222222222224, 0.22222222222222224, 0.08333333833333333, 0.11111111111111112, 0.22222222222222224]","[0.2222222222222222, 0.2222222222222222, 0.08333334025641055, 0.1111111111111111, 0.2222222222222222]","[[0.22222222222222224, 0.25000001499999996, 0.1333333213333335, 0.17222221922222206, 0.22222222222222224], [0.266666642666667, 0.266666642666667, 0.1333333213333335, 0.11111117111111027, 0.22222222222222224]]"
"[0.23076926410256537, 0.1682692849358984, 0.2067307600641021, 0.12499999499999996, 0.2067307600641021]","[0.24999996999999965, 0.2307692207692304, 0.24999998999999992, 0.12499999499999996, 0.2067307600641021]","[0.2307692207692304, 0.2307692207692304, 0.07692307358974347, 0.11538463205128269, 0.2067307600641021]","[0.23076926410256537, 0.2307692207692304, 0.2067307600641021, 0.2307692207692304, 0.2307692207692304]","[0.23076923076923078, 0.16346160131867826, 0.21153842439560633, 0.11538468967032578, 0.21153842439560633]","[[0.24999998285714364, 0.16346160131867826, 0.24999999428571448, 0.12499999714285735, 0.21153842439560633], [0.23076923076923078, 0.23076923076923078, 0.21153842439560633, 0.11538468967032578, 0.21153842439560633]]",816,"[0.23076923076923078, 0.23076923076923078, 0.07692307692307693, 0.11538461538461539, 0.21153842439560633]","[0.23076923076923078, 0.23076923076923078, 0.21153842439560633, 0.23076923076923078, 0.23076923076923078]","[0.2500000171428564, 0.2499999942857147, 0.24999999428571448, 0.12499999714285724, 0.24999998285714364]","[0.2500000300000003, 0.24999998999999992, 0.24999998999999992, 0.12499999499999996, 0.24999996999999965]","[0.24999998285714364, 0.23076923076923078, 0.24999999428571448, 0.12499999714285735, 0.21153842439560633]","[0.24999996999999965, 0.12500001500000016, 0.24999998999999992, 0.12499999499999996, 0.12499999499999996]","[0.24999998285714364, 0.1250000085714282, 0.24999999428571448, 0.12499999714285724, 0.12499999714285724]","[[0.24999996999999965, 0.1682692849358984, 0.24999998999999992, 0.12499999499999996, 0.2067307600641021], [0.23076926410256537, 0.2307692207692304, 0.2067307600641021, 0.12499999499999996, 0.2067307600641021]]"
"[0.2000000399999961, 0.22222222222222224, 0.2000000399999961, 0.13333330333333632, 0.2000000399999961]","[0.22222222222222224, 0.22222222222222224, 0.22222221222222313, 0.17777765777778937, 0.2000000399999961]","[0.2000000399999961, 0.2000000399999961, 0.16666661666667154, 0.06666664666666862, 0.19999984000001547]","[0.2000000399999961, 0.3333332333333431, 0.2000000399999961, 0.19999984000001547, 0.2000000399999961]","[0.21212125212121258, 0.22222222222222224, 0.21212125212121258, 0.12121209121212084, 0.21212125212121258]","[[0.22222222222222224, 0.22222222222222224, 0.22222221222222213, 0.12121209121212084, 0.21212125212121258], [0.21212125212121258, 0.24242415242424142, 0.21212125212121258, 0.12121209121212084, 0.21212125212121258]]",817,"[0.21212125212121258, 0.21212125212121258, 0.15151510151515096, 0.06060604060606038, 0.212121197121212]","[0.21212125212121258, 0.3030302030303019, 0.21212125212121258, 0.212121197121212, 0.21212125212121258]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.1666666716666667, 0.22222222222222224]","[0.22222222222222224, 0.22222222222222224, 0.22222222222222224, 0.16666666666666669, 0.22222222222222224]","[0.22222222222222224, 0.24242415242424142, 0.22222221222222213, 0.12121209121212084, 0.21212125212121258]","[0.22222222222222224, 0.22222222222222224, 0.22222221222222313, 0.11111111111111112, 0.16666666666666669]","[0.22222222222222224, 0.22222222222222224, 0.22222221222222213, 0.11111111111111112, 0.1666666716666667]","[[0.22222222222222224, 0.22222222222222224, 0.22222221222222313, 0.13333330333333632, 0.2000000399999961], [0.2000000399999961, 0.22222222222222224, 0.2000000399999961, 0.17777765777778937, 0.2000000399999961]]"
"[0.2142857242857138, 0.23809523809523808, 0.23809523809523808, 0.09523811523809456, 0.19047618047619086]","[0.2380952280952383, 0.23809523809523808, 0.23809523809523808, 0.11904761904761904, 0.19047618047619086]","[0.2380952280952383, 0.23809523809523808, 0.23809523809523808, 0.047619047619047616, 0.14285714285714282]","[0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.14285714285714282, 0.23809523809523808]","[0.21428573428571596, 0.23809523809523808, 0.23809523809523808, 0.11904763904762011, 0.16666665666666586]","[[0.21428573428571596, 0.23809523809523808, 0.23809523809523808, 0.14285713285714202, 0.16666665666666586], [0.23809522809523775, 0.23809523809523808, 0.23809523809523808, 0.11904763904762011, 0.16666665666666586]]",818,"[0.23809522809523775, 0.23809523809523808, 0.23809523809523808, 0.047619047619047616, 0.14285714785714299]","[0.23809523809523808, 0.23809523809523808, 0.23809523809523808, 0.14285714785714299, 0.23809523809523808]","[0.21428573428571596, 0.23809523809523808, 0.28571426571428404, 0.21428573428571596, 0.21428573428571596]","[0.2142857242857138, 0.23809523809523808, 0.23809523809523808, 0.2142857092857145, 0.2142857092857145]","[0.23809522809523775, 0.23809523809523808, 0.23809523809523808, 0.14285713285714202, 0.16666665666666586]","[0.2142857092857145, 0.2142857092857145, 0.11904761904761904, 0.11904761904761904, 0.11904761904761904]","[0.21428573428571596, 0.21428573428571596, 0.11904761904761904, 0.14285713285714202, 0.14285713285714202]","[[0.2142857242857138, 0.23809523809523808, 0.23809523809523808, 0.11904761904761904, 0.19047618047619086], [0.2380952280952383, 0.23809523809523808, 0.23809523809523808, 0.09523811523809456, 0.19047618047619086]]"
